code_producteur,n
FT/084-N2865,1
FT/084-O1496,1
FT/084-N1712,1
FT/084-O1495,1
FT/084-O1486,1
FT/084-O1483,1
FT/084-N5480,1
FT/084-N5475,1
FT/084-N1715,1
FT/084-N1709,1
FT/084-N2866,1
FT/084-N1701,1
FT/084-N2857,1
FT/084-N1547,1
FT/084-N2870,1
FT/084-N2869,1
FT/084-N2868,1
FT/084-K376,1
FT/084-K374,1
FT/084-K373,1
FT/084-K372,1
FT/084-A1730,1
FT/084-A1728,1
FT/084-A1719,1
FT/084-A4496,1
FT/084-A1671,1
FT/084-A1668,1
FT/084-A1107,1
FT/084-A2225,1
FT/084-A2224,1
FT/084-A1226,1
FT/084-A1225,1
FT/084-A1223,1
FT/084-A1220,1
FT/084-A1219,1
FT/084-A1214,1
FT/084-A1732,1
FT/084-G2035,1
FT/084-G2036,1
FT/084-B4839,1
FT/084-G2207,1
FT/084-G2201,1
FT/084-G4973,1
FT/084-B2460,1
FT/084-D752,1
FT/084-B4849,1
FT/084-B2721,1
FT/084-G2043,1
FT/084-B2707,1
FT/084-B1887,1
FT/084-A1776,1
FT/084-A1775,1
FT/084-B4798,1
FT/084-B141,1
FT/084-A4413,1
FT/084-A4412,1
FT/084-A4410,1
FT/084-A1203,1
