numero_ordre,cooperative,code_plantation,code_producteur,autres_codes,superficie_cacao_ha,rendement_kg_ha,estimation_kg,variete_cacao,gerant,nom_gerant,latitude,longitude,donnees_polygonales
1,A,FT/084-A2195-P001,FT/084-A2195,,1.9,674.7368421052632,1282,Tout Venant,Non,,6.4063181,-5.1512082,
2,A,FT/084-A2198-P001,FT/084-A2198,,2.3,674.7826086956522,1552,Tout Venant,Non,,6.4135644,-5.158274,
3,A,FT/084-A2200-P001,FT/084-A2200,,3.4,675.0,2295,Tout Venant,Non,,6.4251993,-5.1523496,
4,A,FT/084-A2202-P001,FT/084-A2202,,2.4,675.0,1620,Tout Venant,Non,,6.4080299,-5.1491282,
5,A,FT/084-A2725-P001,FT/084-A2725,,1.9,674.7368421052632,1282,Tout Venant,Non,,6.3733308,-5.1523661,
6,A,FT/084-A2728-P001,FT/084-A2728,,4.2,675.0,2835,Tout Venant,Non,,6.4130832,-5.1378315,
7,A,FT/084-A2731-P001,FT/084-A2731,,1.9,674.7368421052632,1282,Tout Venant,Non,,6.4280853,-5.152549,
8,A,FT/084-A1186-P001,FT/084-A1186,,2.8,675.0,1890,Tout Venant,Non,,6.3036842,-5.1369727,
9,A,FT/084-A1197-P001,FT/084-A1197,,4.5,674.8888888888889,3037,Tout Venant,Non,,6.2964669,-5.1281509,
10,A,FT/084-A1203-P001,FT/084-A1203,,4.5,674.8888888888889,3037,Tout Venant,Non,,6.2920016,-5.1356163,
11,A,FT/084-A1207-P001,FT/084-A1207,,3.2,675.0,2160,Tout Venant,Non,,6.2973796,-5.1224695,
12,A,FT/084-A1212-P001,FT/084-A1212,,5.9,674.9152542372881,3982,Tout Venant,Non,,6.292115,-5.1315345,
13,A,FT/084-A1253-P001,FT/084-A1253,,1.5,678.0,1017,Tout Venant,Non,,6.2815546,-5.133455,
14,A,FT/084-A1256-P001,FT/084-A1256,,2.784,674.9281609195402,1879,Tout Venant,Non,,6.3050462,-5.1399969,
15,A,FT/084-A1901-P001,FT/084-A1901,,2.407,674.6987951807229,1624,Tout Venant,Non,,6.2879956,-5.1299714,
16,A,FT/084-A1902-P001,FT/084-A1902,,4.306,674.8722712494194,2906,Tout Venant,Non,,6.2815758,-5.131555,
17,A,FT/084-A2204-P001,FT/084-A2204,,2.891,674.8529920442753,1951,Tout Venant,Non,,6.2785764,-5.1201661,
18,A,FT/084-A2564-P001,FT/084-A2564,,7.008,674.9429223744293,4730,Tout Venant,Non,,6.3080765,-5.1600745,
19,A,FT/084-A2569-P001,FT/084-A2569,,3.289,674.9771967163272,2220,Tout Venant,Non,,6.2900007,-5.1293522,
20,A,FT/084-A2571-P001,FT/084-A2571,,2.302,674.6307558644656,1553,Tout Venant,Non,,6.3119683,-5.1505044,
21,A,FT/084-A2573-P001,FT/084-A2573,,3.225,674.7286821705426,2176,Tout Venant,Non,,6.3115165,-5.1454492,
22,A,FT/084-A2579-P001,FT/084-A2579,,9.237,674.8944462487821,6234,Tout Venant,Non,,6.2884409,-5.134469,
23,A,FT/084-A2581-P001,FT/084-A2581,,3.275,674.8091603053435,2210,Tout Venant,Non,,6.3090456,-5.1559746,
24,A,FT/084-A2582-P001,FT/084-A2582,,1.35,674.8148148148148,911,Tout Venant,Non,,6.2944479,-5.1275516,
25,A,FT/084-A2659-P001,FT/084-A2659,,1.81,677.3480662983425,1226,Tout Venant,Non,,6.2988443,-5.134535,
26,A,FT/084-A2660-P001,FT/084-A2660,,2.711,674.6587974917005,1829,Tout Venant,Non,,6.3052561,-5.1430965,
27,A,FT/084-A2667-P001,FT/084-A2667,,2.256,674.6453900709221,1522,Tout Venant,Non,,6.2904809,-5.1280756,
28,A,FT/084-A2240-P001,FT/084-A2240,,1.73,676.878612716763,1171,Tout Venant,Non,,6.4454358,-5.2220115,
29,A,FT/084-A2246-P001,FT/084-A2246,,2.949,674.80501865039,1990,Tout Venant,Non,,6.4255997,-5.2141487,
30,A,FT/084-A2247-P001,FT/084-A2247,,2.21,674.6606334841629,1491,Tout Venant,Non,,6.4596876,-5.228717,
31,A,FT/084-A2248-P001,FT/084-A2248,,4.447,674.8369687429728,3001,Tout Venant,Non,,6.4245075,-5.2158206,
32,A,FT/084-A4386-P001,FT/084-A4386,,1.1,674.5454545454545,742,Tout Venant,Non,,6.4420284,-5.2210828,
33,A,FT/084-A4395-P001,FT/084-A4395,,1.09,674.3119266055045,735,Tout Venant,Non,,6.5001725,-5.2113146,
34,A,FT/084-A4396-P001,FT/084-A4396,,1.16,675.0,783,Tout Venant,Non,,6.4780907,-5.2334552,
35,A,FT/084-A4398-P001,FT/084-A4398,,1.6,675.0,1080,Tout Venant,Non,,6.4574524,-5.2324589,
36,A,FT/084-A4410-P001,FT/084-A4410,,1.39,674.8201438848921,938,Tout Venant,Non,,6.4843874,-5.2371047,
37,A,FT/084-A4412-P001,FT/084-A4412,,1.3,674.6153846153846,877,Tout Venant,Non,,6.4845323,-5.2361523,
38,A,FT/084-A4413-P001,FT/084-A4413,,1.36,675.0,918,Tout Venant,Non,,6.4849202,-5.2363017,
39,A,FT/084-A1214-P001,FT/084-A1214,,1.2,675.0,810,Tout Venant,Non,,6.434271,-5.2232345,
40,A,FT/084-A1219-P001,FT/084-A1219,,1.17,674.3589743589744,789,Tout Venant,Non,,6.4857875,-5.2347018,
41,A,FT/084-A1220-P001,FT/084-A1220,,5.918,674.8901655964853,3994,Tout Venant,Non,,6.4889531,-5.2352619,
42,A,FT/084-A1223-P001,FT/084-A1223,,3.125,674.88,2109,Tout Venant,Non,,6.493393,-5.2090632,
43,A,FT/084-A1225-P001,FT/084-A1225,,6.342,674.8659728792179,4280,Tout Venant,Non,,6.5015479,-5.2168648,
44,A,FT/084-A1226-P001,FT/084-A1226,,1.99,674.8743718592965,1343,Tout Venant,Non,,6.5038052,-5.2282801,
45,A,FT/084-A2224-P001,FT/084-A2224,,2.903,674.8191526007578,1959,Tout Venant,Non,,6.5028344,-5.2176101,
46,A,FT/084-A2225-P001,FT/084-A2225,,2.327,674.6884400515686,1570,Tout Venant,Non,,6.4957576,-5.2281525,
47,A,FT/084-A1107-P001,FT/084-A1107,,1.12,675.8928571428571,757,Tout Venant,Non,,6.4856211,-5.2361701,
48,A,FT/084-A1668-P001,FT/084-A1668,,1.18,678.8135593220339,801,Tout Venant,Non,,6.4862339,-5.2350435,
49,A,FT/084-A1671-P001,FT/084-A1671,,3.977,674.8805632386221,2684,Tout Venant,Non,,6.4868463,-5.23476,
50,A,FT/084-A4496-P001,FT/084-A4496,,1.64,675.0,1107,Tout Venant,Non,,6.6926917,-4.9970154,
51,A,FT/084-A1719-P001,FT/084-A1719,,1.58,675.3164556962025,1067,Tout Venant,Non,,6.3802985,-5.1663274,
52,A,FT/084-A1728-P001,FT/084-A1728,,1.48,679.0540540540541,1005,Tout Venant,Non,,6.3884922,-5.1588972,
53,A,FT/084-A1730-P001,FT/084-A1730,,1.93,674.6113989637306,1302,Tout Venant,Non,,6.3944965,-5.1778274,
54,A,FT/084-A1732-P001,FT/084-A1732,,1.65,676.3636363636364,1116,Tout Venant,Non,,6.3904411,-5.177967,
55,A,FT/084-G2035-P001,FT/084-G2035,,1.71,674.8538011695906,1154,Tout Venant,Non,,6.3766132,-5.1634591,
56,A,FT/084-G2036-P001,FT/084-G2036,,2.045,674.8166259168704,1380,Tout Venant,Non,,6.3730808,-5.1619175,
57,A,FT/084-G2043-P001,FT/084-G2043,,2.55,674.9019607843138,1721,Tout Venant,Non,,6.3994458,-5.1631309,
