identifiant,type_anomalie,colonne_concernee,valeur
FT/084-A2200-P001,Plantation sans producteur associé,code_producteur,FT/084-A2200
FT/084-A2728-P001,Plantation sans producteur associé,code_producteur,FT/084-A2728
FT/084-A1186-P001,Plantation sans producteur associé,code_producteur,FT/084-A1186
FT/084-A1197-P001,Plantation sans producteur associé,code_producteur,FT/084-A1197
FT/084-A1212-P001,Plantation sans producteur associé,code_producteur,FT/084-A1212
FT/084-A1256-P001,Plantation sans producteur associé,code_producteur,FT/084-A1256
FT/084-A1902-P001,Plantation sans producteur associé,code_producteur,FT/084-A1902
FT/084-A2569-P001,Plantation sans producteur associé,code_producteur,FT/084-A2569
FT/084-A2573-P001,Plantation sans producteur associé,code_producteur,FT/084-A2573
FT/084-A2579-P001,Plantation sans producteur associé,code_producteur,FT/084-A2579
FT/084-G1297-P001,Plantation sans producteur associé,code_producteur,FT/084-G1297
FT/084-G2443-P001,Plantation sans producteur associé,code_producteur,FT/084-G2443
FT/084-G2449-P001,Plantation sans producteur associé,code_producteur,FT/084-G2449
FT/084-T2475-P001,Plantation sans producteur associé,code_producteur,FT/084-T2475
FT/084-T2551-P001,Plantation sans producteur associé,code_producteur,FT/084-T2551
FT/084-T3037-P001,Plantation sans producteur associé,code_producteur,FT/084-T3037
FT/084-T893-P001,Plantation sans producteur associé,code_producteur,FT/084-T893
FT/084-G5052-P001,Plantation sans producteur associé,code_producteur,FT/084-G5052
FT/084-G2019-P001,Plantation sans producteur associé,code_producteur,FT/084-G2019
FT/084-G1944-P001,Plantation sans producteur associé,code_producteur,FT/084-G1944
FT/084-A2578-P001,Plantation sans producteur associé,code_producteur,FT/084-A2578
FT/084-A1191-P001,Plantation sans producteur associé,code_producteur,FT/084-A1191
1030050999,Écart estimation > 10 %,estimation_totale_kg,-52.15243472124206
1030051002,Écart estimation > 10 %,estimation_totale_kg,-39.6928051738076
1030051003,Écart estimation > 10 %,estimation_totale_kg,21.071428571428573
1030051007,Écart estimation > 10 %,estimation_totale_kg,13.47517730496454
1030051009,Écart estimation > 10 %,estimation_totale_kg,-64.55549099360837
1030051011,Écart estimation > 10 %,estimation_totale_kg,19.935691318327976
1030051012,Écart estimation > 10 %,estimation_totale_kg,-18.103448275862068
1030051013,Écart estimation > 10 %,estimation_totale_kg,24.175824175824175
1030051014,Écart estimation > 10 %,estimation_totale_kg,18.973722325677635
1030051020,Écart estimation > 10 %,estimation_totale_kg,20.558375634517766
1030051021,Écart estimation > 10 %,estimation_totale_kg,158.664546899841
1030051022,Écart estimation > 10 %,estimation_totale_kg,-68.82793017456359
1030051024,Écart estimation > 10 %,estimation_totale_kg,18.32460732984293
1030051032,Écart estimation > 10 %,estimation_totale_kg,24.569460390355914
1030051033,Écart estimation > 10 %,estimation_totale_kg,29.142857142857142
1030051041,Écart estimation > 10 %,estimation_totale_kg,10.874897792313982
1030051046,Écart estimation > 10 %,estimation_totale_kg,-10.012062726176115
1030051047,Écart estimation > 10 %,estimation_totale_kg,21.51088348271447
1030051049,Écart estimation > 10 %,estimation_totale_kg,-31.493001555209954
1030051052,Écart estimation > 10 %,estimation_totale_kg,-44.243421052631575
1030070322,Écart estimation > 10 %,estimation_totale_kg,71.49425287356321
1030070325,Écart estimation > 10 %,estimation_totale_kg,59.905660377358494
1030070327,Écart estimation > 10 %,estimation_totale_kg,-14.694110920526015
1030070328,Écart estimation > 10 %,estimation_totale_kg,205.14469453376205
1030070331,Écart estimation > 10 %,estimation_totale_kg,11.202185792349727
1030070335,Écart estimation > 10 %,estimation_totale_kg,-26.40144665461121
1030070336,Écart estimation > 10 %,estimation_totale_kg,65.6015037593985
1030070343,Écart estimation > 10 %,estimation_totale_kg,108.93682588597844
1030070347,Écart estimation > 10 %,estimation_totale_kg,-62.86161063330727
1030070350,Écart estimation > 10 %,estimation_totale_kg,-13.324360699865412
1030070351,Écart estimation > 10 %,estimation_totale_kg,-21.504339440694313
1030070353,Écart estimation > 10 %,estimation_totale_kg,-28.3739837398374
1030070358,Écart estimation > 10 %,estimation_totale_kg,116.38297872340426
1030070360,Écart estimation > 10 %,estimation_totale_kg,-13.64877161055505
1030070363,Écart estimation > 10 %,estimation_totale_kg,-54.01129943502825
1030070366,Écart estimation > 10 %,estimation_totale_kg,-49.57233172182968
1030070367,Écart estimation > 10 %,estimation_totale_kg,82.21343873517787
1030070370,Écart estimation > 10 %,estimation_totale_kg,37.09175738724728
1030070373,Écart estimation > 10 %,estimation_totale_kg,-38.29611248966088
1030070377,Écart estimation > 10 %,estimation_totale_kg,-63.665594855305464
1030070378,Écart estimation > 10 %,estimation_totale_kg,-14.01938851603281
1030070379,Écart estimation > 10 %,estimation_totale_kg,15.421002838221382
1030070380,Écart estimation > 10 %,estimation_totale_kg,35.8797745773325
1030070384,Écart estimation > 10 %,estimation_totale_kg,-37.105751391465674
